MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnsweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus,Churn
50.19,143,70,0,0,0.2,53,0.6,1.7,0,4.3,0,0.7,14.9,13,1.3,30,13.3,1.7,0,0.3,8,1,1,SFROAK510,1,1,232,44,0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,?,No,3-Good,Other,Other,No,No
67.74,1059,83,0.74,0,0,-594,-27.9,14,11.7,74.3,7.3,0.7,286.3,59.3,18,250.7,156.7,25.7,0,7,6,1,1,HOUSPR832,1,1,188,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,5-Low,Other,Other,?,Yes
110.3,690,38,0.5,180,0,386,116.5,11.7,0.3,14.7,0,0.3,341.4,20.3,6.3,156,60,12,0,3,19,1,1,LAXVNY818,1,1,569,34,56,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,2,No,0,?,No,3-Good,Other,Other,No,Yes
66.78,727,60,2.48,45,0,-465,-15.8,9.3,0.7,23.7,1.3,0,214.2,52,12,112,74.3,10,0,2.3,16,2,1,LAXBUR818,2,2,115,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,10,No,5-Low,Other,Other,?,Yes
79.94,978,95,4.95,0,0,453,2,36.3,1.7,29.3,0,0,148,29.7,7,108.7,76.3,38,0,2,7,1,1,DETBAT616,2,1,32,26,0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,No,0,2,No,0,150,No,3-Good,Other,Other,No,No
48.35,1342,46,0.5,32,0,56,-0.4,21,12,42.7,8.3,13,46.9,40.3,7,87.7,142,33,0,3.3,10,1,1,MILMIL414,1,1,314,40,30,Yes,No,Yes,No,No,Known,No,No,No,Yes,No,Yes,0,0,No,No,0,7,No,0,?,No,3-Good,Town,Professiol,Yes,No
217.57,1844,49,3.71,382,0.2,-713,-103.8,8.7,144.7,95,5.3,4,365.1,128.3,15.7,270.3,554,155,0,16.7,7,2,2,CHINBK847,1,1,209,50,50,Yes,No,Yes,No,No,Known,Yes,Yes,Yes,No,No,Yes,0,0,No,No,0,9,No,0,?,No,2-High,Town,Other,Yes,No
48.16,607,45,0.5,30,0.6,-221,-8.7,13.3,0.3,17.7,1.7,0.7,52.7,19.3,5.3,38.7,64,13.7,0,0,11,1,1,SHEHAR540,1,1,320,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,?,No,3-Good,Suburban,Other,?,Yes
96.91,462,30,2.48,258,0,-36,-8.9,3,1.3,23.3,0,0,24.7,8,0,137,51.3,4.3,0,1,47,1,1,DETTOL419,1,1,1403,34,34,Yes,No,No,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,7,No,0,?,No,1-Highest,Town,Professiol,?,No
42.49,355,52,0,0,0,214,-7.5,3.3,0.7,18,0,0,68,29.3,11.3,56,55.7,4,0,0.7,9,2,2,PITHOM412,1,1,283,34,36,No,No,Yes,No,No,Known,No,No,No,Yes,No,Yes,0,0,No,No,0,7,No,0,?,No,2-High,Other,Other,Yes,Yes
39.38,19,45,0,0,0.4,15,-0.4,0.3,1.3,6.3,0,0.7,0.3,1.3,0,2.3,4.7,1.7,0,0,11,1,1,APCWAS202,1,1,310,44,46,Yes,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,4,No,0,?,No,4-Medium,Other,Other,Yes,Yes
63.91,978,50,0,34,0.5,-122,-13.9,4.3,0,48.7,10.7,0.7,185.4,50.7,9.7,194,91,4.3,0,6.7,7,1,1,HARHAR860,1,1,203,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,?,No,5-Low,Suburban,Other,?,No
14.15,466,10,0.25,5,0.3,-154,-4.1,2.7,4.3,21.3,0.3,1.3,107.2,54.3,22,93.7,85.3,7,0,0.3,14,2,2,NYCQUE917,2,2,158,64,0,No,No,Yes,No,No,?,Yes,Yes,No,No,No,No,0,0,Yes,No,0,9,No,0,150,No,3-Good,Other,Other,No,No
41.55,331,30,1.24,30,0,131,16.3,1.7,1,27,0,0,23.6,4.7,1.3,70,47.3,2.7,0,0.7,35,1,1,STLSTL314,2,1,726,46,46,Yes,No,No,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,4,No,0,30,No,5-Low,Other,Other,Yes,No
34.99,67,45,0,0,0,?,?,1,1,4,0,0,0,0,0,4.3,1,2,0,0,12,1,1,FLNWNH941,1,1,344,68,72,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,1,0,No,No,0,3,No,0,?,Yes,2-High,Other,Other,Yes,No
149.64,1820,110,4.7,117,0,52,23.8,22,24.3,81,5,0,303.7,172.7,31.3,464.3,163,46.3,0,15.3,12,1,1,CHICHI773,2,1,307,28,0,No,No,Yes,No,No,?,No,No,No,No,No,Yes,0,0,No,No,0,8,No,0,130,No,2-High,Other,Other,No,No
53.81,363,50,0,11,0,182,9.7,7.7,1,30.3,0,0.7,73.7,12,1,85.3,50,8.7,0,0,30,1,1,NYCQUE917,1,1,924,36,32,Yes,No,Yes,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,No,No,0,6,No,0,?,No,3-Good,Other,Professiol,No,Yes
14.16,137,10,0.25,0,3.9,-35,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,NNYALB518,1,1,296,30,0,No,No,Yes,Yes,Yes,Known,No,No,No,No,Yes,Yes,0,0,Yes,No,0,7,No,0,?,No,2-High,Town,Other,No,No
78.99,590,85,0,0,0,-132,0,6.3,3.3,22,0,0,64.2,26.3,2.3,138,4.3,9.7,0,0.3,9,1,1,ATLANE678,2,2,154,26,0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,6,No,0,150,No,2-High,Other,Other,Yes,Yes
104.2,948,75,9.4,0,16.6,-47,-7.1,5.3,3.7,35,1.3,0.3,130.3,64.3,38,183,180.7,9,0,3.7,25,1,1,SFRSFR415,4,3,367,36,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,6,No,0,200,No,6-VeryLow,Other,Other,No,No
163.44,3168,160,7.18,0,6.3,321,12.3,58.7,27,153.7,1,0.3,618.9,168.3,33.3,485.3,468,85.7,0,17.7,32,2,1,KCYKCK913,3,3,472,50,52,Yes,No,Yes,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,No,0,7,No,0,80,No,1-Highest,Town,Professiol,Yes,Yes
10.44,246,10,0.25,0,0.1,125,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,MIAHWD954,1,1,257,56,54,No,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,8,No,0,?,No,1-Highest,Other,Professiol,Yes,No
30,114,30,0,0,0,18,0,0.3,1.3,1,0,0.7,1.2,2,0,7.7,6.3,1.7,0,0,21,1,1,HWIHON808,1,1,635,58,58,Yes,No,No,No,No,Known,Yes,Yes,No,No,No,No,0,0,No,No,0,4,No,0,?,No,5-Low,Suburban,Retired,Yes,No
49.99,112,60,0,0,0,79,0,0.3,0.3,2.3,0,0,0,0,0,6.3,6.7,0.7,0,0,13,1,1,PHITRT609,1,1,367,38,36,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,6,No,0,?,No,3-Good,Suburban,Professiol,Yes,No
47.42,565,30,0.5,48,0,-236,-17.4,6.3,0.3,44.3,0,0,169.1,49.7,4,111,142.7,6.7,0,4,35,2,2,LAXA714,2,2,495,50,54,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,9,No,0,30,No,1-Highest,Other,Professiol,Yes,Yes
54.91,634,60,0.74,24,0,-112,-6.4,2.3,2,41,3.7,0,114.6,74,12,172.7,52.3,4.3,0,3.3,13,2,2,HOUHOU281,1,1,385,30,30,Yes,No,Yes,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,No,No,0,4,No,0,?,No,3-Good,Other,Student,Yes,Yes
53.95,399,60,3.96,0,0,-44,3,3.7,0,9,0,0,53.3,12.7,1,45,35.7,3.7,0,0.7,24,2,2,APCFCH703,3,3,60,40,0,No,No,Yes,No,No,Known,No,Yes,Yes,No,Yes,Yes,0,0,No,Yes,0,7,No,1,150,No,2-High,Other,Professiol,No,No
135.38,444,95,6.68,2,38.3,-82,2.8,5,12.3,25.7,0,0,38.1,49.3,4.7,66.7,55,17.3,0,0,8,4,4,ATLATH706,1,1,248,40,0,No,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,Yes,0,1,No,0,?,No,2-High,Rural,Other,?,No
74.41,898,60,3.22,16,0,98,40.9,19.7,2.7,65,1.7,3.3,234.4,73,15.3,196,166.3,22.3,0,7,12,1,1,APCBAL410,2,2,92,24,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,60,No,5-Low,Other,Other,No,No
33.98,378,45,0.74,0,0,110,1.2,2.7,0.3,7.3,0,0,147.3,25,10.7,41,40.7,3,0,0,16,1,1,NYCMAN917,1,1,471,54,52,Yes,No,Yes,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,No,0,9,No,0,?,No,3-Good,Other,Professiol,Yes,No
87.81,838,84,3.22,0,0,175,1.1,10,2,56.3,7.3,0.3,196.8,48.3,10,246,102,12,0,6.3,19,2,2,LAXSAN714,4,4,90,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,30,No,5-Low,Other,Other,?,No
67.45,758,52,3.71,40,0,-758,-115.6,31.3,6,68,3,0,242,50.7,9,179.7,132,37.3,0,8.7,7,1,1,NEVLVS702,2,2,104,26,54,No,Yes,No,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,9,No,0,60,No,5-Low,Other,Other,?,No
42.98,1282,45,0,22,0,173,6.4,6.7,11,59.7,14.3,1.3,17.9,18.7,1,65.3,89,17.7,0,0.3,33,3,2,LAXLAX213,4,2,180,40,36,No,Yes,Yes,No,No,Known,No,No,Yes,No,No,Yes,1,1,No,No,0,4,No,2,30,Yes,2-High,Other,Other,No,Yes
35.52,175,45,0,0,0.5,144,0.9,1.7,11.3,14,5.7,0,21.9,4,0,27,33.3,13,0,0,12,1,1,NCRKAN704,2,1,336,48,0,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,5,No,0,150,No,3-Good,Rural,Professiol,Yes,No
60.86,282,30,0.25,88,0,-108,-30.9,7.7,1.3,39.7,0,0,97.2,60.7,17.3,108,52.7,9,0,0,19,2,2,LAXPAS626,1,1,567,0,0,No,Yes,No,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,1-Highest,Suburban,Other,?,Yes
50.24,503,70,0.25,0,0,-111,-0.2,3.7,0,0.7,2,0,143.9,45,26.7,119.3,92.7,3.7,0,3,12,1,1,NYCS516,1,1,345,28,0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,3,No,0,?,No,5-Low,Other,Other,Yes,No
50.06,547,40,0,26,0.3,453,-9.3,15.3,7.7,39.7,0,0,68,29.7,2.3,41.3,66.7,25.3,0,0,17,1,1,CHICHI773,1,1,502,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,?,No,7-Lowest,Suburban,Other,?,No
35.51,276,45,0,0,0.3,108,0.8,2,0,30.7,0,0,20.1,3.3,2.7,71,22.3,2,0,0,13,1,1,LAXDOW562,1,1,372,46,46,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,7,No,0,?,No,3-Good,Suburban,Professiol,Yes,Yes
47.98,406,44,2.48,5,3.4,-121,-45.4,5,20.7,72.7,1.3,0,44.8,65,27,157.3,39,29.7,0,0,9,1,1,VAHCHL804,1,1,268,54,24,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,?,No,4-Medium,Rural,Other,?,No
36.65,312,40,0,18,0,-162,-6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,DETPON248,1,1,240,32,0,No,No,Yes,Yes,Yes,Known,No,No,No,No,No,No,0,0,No,No,0,6,No,0,?,No,2-High,Suburban,Other,No,No
85.4,962,95,0.25,0,0.2,74,0.2,20.3,0,12.7,34.3,0,219.1,59.3,10,238,146.7,20.3,0,2,36,2,2,NYCS516,4,3,139,34,0,Yes,No,Yes,No,No,Known,No,Yes,No,Yes,Yes,Yes,0,0,No,No,0,9,No,0,30,No,1-Highest,Suburban,Professiol,Yes,No
49.99,401,60,0,0,0,226,0,4,3,17,0,0,163.5,4.7,0.7,64,80.7,7,0,0.7,11,2,1,OKCWIC940,1,1,325,48,42,Yes,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,No,No,0,6,No,0,?,No,3-Good,Other,Other,Yes,Yes
52.97,362,60,1.73,0,0,-60,0,2.3,2.7,12.3,4.3,0,60.3,18.3,3.3,62,28.3,5,0,0.3,9,5,1,ATLANE678,2,1,287,40,36,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,1,7,No,0,30,No,2-High,Suburban,Professiol,Yes,No
16.99,8,17,0,0,0,-6,0,0,0,0,0,0,0.6,0,0,0,1.7,0,0,0,29,1,1,SEABEA503,1,1,877,52,52,No,No,No,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,1,No,0,?,No,1-Highest,Town,Other,No,No
85.33,573,95,0.25,0,0,15,0,11.7,1,33,0,0,141.2,31.3,10,231.7,46.3,12.7,0,0.3,11,2,2,LAXVNY818,1,1,327,34,30,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,?,No,2-High,Other,Other,Yes,Yes
150.26,975,70,2.23,316,0.3,-95,-30.1,6,5.7,43.3,0,0,188.9,21.3,0.3,297.7,40.3,11.7,0,2.3,7,1,1,DALDAL214,1,1,198,36,36,Yes,No,Yes,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,1,No,0,?,No,3-Good,Other,Other,No,No
17.8,40,10,0,8,0,-12,-7.8,1,0.3,5.7,0,0,22.1,3,3.7,11.3,4.3,1.3,0,0,9,2,2,SFRSFR415,1,1,268,46,0,No,No,No,No,No,?,No,No,No,No,No,Yes,0,0,Yes,No,0,4,No,0,?,No,4-Medium,Other,Other,No,No
54.4,208,50,1.73,0,14.7,51,-8,0.3,0,8.3,0,0,25,0.7,0,14,12.3,0.3,0,0,41,1,1,SFROAK925,1,1,1244,46,0,No,No,Yes,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,Yes,No,0,6,No,0,?,No,1-Highest,Other,Professiol,No,Yes
49.99,480,60,0,0,0,-114,0,1.7,1.7,21,1,0,121.2,10.3,27,114.7,53,3.3,0,2.3,10,1,1,SDASFL605,1,1,287,22,0,No,No,Yes,No,No,?,Yes,Yes,No,No,No,Yes,0,0,No,No,0,4,No,0,?,No,2-High,Other,Other,No,No
44.86,152,45,0,0,9.4,3,5,1.7,1,13.7,0,0.3,11.6,2,0,23.7,9,2.7,0,0,11,1,1,AWIAPP920,1,1,312,60,56,No,No,Yes,No,No,Known,Yes,Yes,Yes,No,Yes,Yes,0,0,No,No,0,8,No,0,?,No,2-High,Suburban,Professiol,Yes,No
32.99,378,30,0,8,0,54,9,5,0.7,22.3,3,0,88.7,26.7,10.3,88,64,5.7,0,1,17,1,1,SFROAK510,2,1,517,30,28,No,No,Yes,No,No,?,No,No,No,No,No,Yes,0,0,No,No,0,5,No,0,30,No,4-Medium,Other,Other,?,No
83.46,1838,85,0,34,0,139,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,ATLMEM901,1,1,413,28,0,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,1,No,0,?,No,2-High,Other,Other,?,Yes
30.26,0,30,0,0,0,0,-0.3,0,0,1,0,0,0,0,0,0.3,0.3,0,0,0,22,1,1,SFRSFR415,1,1,674,0,0,No,No,Yes,No,No,?,No,No,No,No,No,Yes,0,0,No,No,0,9,No,0,?,No,2-High,Other,Other,No,No
145.35,513,80,5.69,195,14.9,-40,26.5,2.7,3.3,22,0,0,77.7,15.7,4.3,85.7,38.3,6,0,0.3,18,2,2,NOLKEN504,1,1,540,54,48,Yes,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,9,Yes,0,?,No,2-High,Town,Professiol,?,No
17.77,9,17,0,0,0.5,0,1.6,0,0.7,5,0,0,0.5,0,0.3,1.3,4,0.7,0,0,35,1,1,DALFTW817,4,2,333,60,58,No,Yes,No,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,1,30,No,1-Highest,Other,Clerical,Yes,No
58.61,448,50,1.73,115,0,-102,-4.6,0.3,0.3,5.7,0,0,0,2,0,10,1.3,0.7,0,0,40,1,1,LAXA714,2,2,52,0,0,No,No,No,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,30,No,1-Highest,Suburban,Other,?,No
43.93,109,45,0,0,0,-18,-8.9,0.7,8.7,14,0,0,10.6,2.7,0,30,24.3,9.3,0,0,7,1,1,NCRCRY919,2,2,96,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,130,No,2-High,Suburban,Other,?,No
16.99,5,17,0,0,0,4,0,0,0,10.7,0,0,0,0,0,0,0.7,0,0,0,33,1,1,OKCOKC405,3,2,482,0,0,No,Yes,No,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,30,No,3-Good,Other,Other,?,No
50.09,289,60,0,0,0,-7,-0.1,3,0,7.7,0,0.7,87.9,17.7,0.3,22.7,76.3,3,0,0.3,9,1,1,SLCSLC801,1,1,274,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,?,No,5-Low,Other,Other,?,No
32.94,74,30,1.49,4,0,44,7.9,0.3,0.3,5.3,0.7,0.3,0,0,0,21.7,6.3,0.7,0,0,22,1,1,BOSBOS617,1,1,643,48,42,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,8,No,0,?,No,3-Good,Suburban,Other,No,No
33.6,218,47,0.74,0,0.1,18,-2.2,1,23.7,3.7,0,0.7,31.8,7.7,1.3,62.3,23.7,24.7,0,1,7,1,1,NCRVIR757,1,1,213,22,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,3,No,0,?,No,3-Good,Suburban,Other,Yes,No
65.61,400,30,0.74,98,0.5,30,9.5,0.7,0,48.3,1.3,1,3.5,2,0,107.7,40,0.7,0,0.3,25,1,1,DETROS810,2,1,731,32,32,Yes,No,Yes,No,No,Known,No,No,No,No,Yes,No,0,0,No,No,0,7,No,0,60,No,5-Low,Town,Other,Yes,No
24.23,111,30,1.73,0,0,-39,5.8,5,4.7,42.3,1.3,0,13.8,10,0,47,21.7,9.7,0,0.3,13,1,1,STLCOL618,1,1,394,30,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,3,No,0,?,No,4-Medium,Town,Crafts,No,No
39.8,324,45,0.25,13,0.1,172,13,1.7,0,9.3,0,0,95.7,23.3,2.3,75,32,1.7,0,0.7,9,2,2,NNYROC716,1,1,260,50,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,5,No,0,?,No,2-High,Suburban,Self,?,No
31.27,203,30,0.5,1,0,-25,-0.3,0,1.7,19,1.3,0,36.6,10.3,0.3,50.3,22.3,1.7,0,0.3,34,1,1,SANSAN210,1,1,1040,62,0,No,No,No,No,No,Known,No,No,No,No,Yes,Yes,0,0,Yes,No,0,4,No,0,?,No,3-Good,Other,Professiol,No,No
34.4,219,40,0,2,0.7,70,1.4,2,1.3,6,5.7,0,24.3,6.7,2.3,50.7,16.3,3.3,0,0,15,1,1,DALDAL214,2,1,456,36,36,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,5,No,0,60,No,2-High,Suburban,Professiol,Yes,No
48.2,272,50,4.21,0,0,146,0.7,0.7,0,6.7,5.3,2.3,82.3,5.3,1.3,22,22.7,0.7,0,0,7,1,1,DETANN734,4,2,45,50,0,No,Yes,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,No,0,3,No,0,150,No,5-Low,Other,Crafts,Yes,No
49.17,830,45,0.25,53,0,-273,-17.1,16,11.7,86.3,4.7,0,67.5,6,0.7,133,119.7,27.7,0,4.3,13,1,1,NMXALB505,1,1,388,30,28,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,No,0,0,No,No,0,5,No,0,?,No,3-Good,Other,Other,Yes,No
35.19,337,45,0,0,0,-87,0.2,3,0.3,11.7,0.3,0,107.6,26.7,18,35,58.7,3.3,0,0,11,1,1,BOSBOS978,1,1,310,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,4-Medium,Other,Other,?,Yes
14.88,248,10,0.25,13,0,-177,2.1,4.7,0.3,45,0,0,9.9,8.3,0,59.7,44.3,5,0,0,17,3,3,NYCBRO917,1,1,516,34,0,No,Yes,Yes,No,No,?,Yes,Yes,No,No,No,Yes,0,0,No,No,0,8,No,0,?,No,3-Good,Other,Other,No,No
84.4,792,75,1.49,23,0,-334,-8.4,7.7,0.7,40,5.3,0.7,315.5,20.7,1.3,209.3,79.7,8.3,0,8.7,15,1,1,LAXA714,3,2,437,42,40,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,5,No,0,150,No,5-Low,Other,Other,Yes,No
30.48,93,40,0.5,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,SFRSCL408,2,2,107,48,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,9,No,0,150,No,4-Medium,Town,Other,?,Yes
40.28,746,40,0,1,0,108,-0.3,14.3,1.3,41.7,9.3,0.7,146.1,44.7,5.7,97,101.7,15.7,0,3.3,8,1,1,APCFCH703,1,1,221,44,0,No,No,Yes,No,No,?,Yes,Yes,No,No,No,Yes,0,0,No,No,0,3,No,0,?,No,5-Low,Other,Other,No,No
21,319,15,0,28,0,-319,-21,1.7,24.3,198,18.7,0.7,142.5,33,2.3,160.3,197.3,26,0,1,8,1,1,DALDAL214,1,1,218,42,40,Yes,Yes,Yes,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,5,No,0,?,No,5-Low,Other,Other,Yes,No
30.47,50,30,0,0,0.5,-4,-0.5,0.7,0.7,7.3,0,0,2.8,2.7,0.7,19,4.7,1.3,0,0,27,1,1,ATLANE678,1,1,796,36,34,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,6,No,0,?,No,2-High,Rural,Other,Yes,Yes
91.58,2271,89,0.74,30,0.4,-588,0.8,29,19,84.3,2.7,3.3,526.3,69.7,42.7,227,489.7,50.3,0,11,7,1,1,FLNORL407,2,1,79,20,20,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,130,No,2-High,Suburban,Other,No,Yes
10,18,10,0,0,0,-18,0,0.3,1,2.7,0,0,6.3,3.7,2.7,9.3,4.3,1.3,0,0,13,2,2,FLNCLR813,2,2,357,40,38,No,No,Yes,Yes,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,6,No,0,60,No,4-Medium,Other,Professiol,Yes,Yes
50.98,119,60,0.99,0,0,62,2,2.7,1,1,0,0,0,0,0,11.7,0.7,3.7,0,0,13,4,2,KCYWIC316,1,1,394,42,0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,6,No,0,?,No,1-Highest,Town,Professiol,Yes,No
18.11,82,17,0.25,0,0.1,17,-0.6,1,0.7,6.7,0,0,3.5,0,0,17.3,24,1.7,0,0,41,1,1,APCFCH703,2,2,321,46,0,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,9,No,0,30,No,1-Highest,Other,Other,No,No
17.14,54,17,0,0,0,-8,-0.2,1,0,6,0,0,15.3,0,0,22.7,14.3,1,0,0,36,1,1,SFRSFR415,1,1,1081,38,0,No,No,No,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,6,No,0,?,No,1-Highest,Other,Other,?,No
30.06,431,10,0.74,78,0,-66,-1.2,4,0.7,19.3,2.3,0,180.2,23.3,10.7,64.3,48,4.7,0,0.7,14,2,2,DALDAL214,1,1,422,54,48,No,No,Yes,Yes,Yes,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,5,No,0,?,No,3-Good,Town,Professiol,Yes,No
35.3,413,45,0,0,0,-202,-0.3,0.3,6,60.7,1.7,0.3,37.3,6.7,3.3,48,113.7,6.3,0,0.3,31,1,1,NOLKEN504,3,2,552,44,44,Yes,No,Yes,Yes,Yes,Known,No,No,No,Yes,No,Yes,0,0,No,No,0,4,No,0,60,No,4-Medium,Other,Other,Yes,No
127.27,1652,75,3.46,244,0,13,-17.7,13.7,0,56.7,12.3,0.3,477.1,107.7,98.7,268,478,13.7,0,10.7,41,1,1,SFRSMO650,6,5,238,48,0,Yes,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,1,0,No,Yes,0,5,No,0,130,Yes,1-Highest,Suburban,Other,?,Yes
48.2,742,30,2.23,43,0,-195,-1.9,13.3,0.3,42.3,2.3,0.3,179.8,34.7,8.7,97.3,194.3,13.7,0,3.3,19,1,1,PHIPLS609,1,1,575,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,5-Low,Suburban,Other,?,No
19.99,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,FLNGAN352,1,1,335,22,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,2,No,0,?,No,2-High,Other,Other,?,Yes
85.43,761,95,0.25,0,0.2,281,-0.1,5.3,0.7,66.7,1.3,0.3,187.2,41.7,8.3,165,80.7,6.7,0,4.7,10,1,1,PHXPHX602,1,1,297,52,64,No,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,5,No,0,?,No,3-Good,Suburban,Other,Yes,No
10.25,154,10,0.25,0,0,-56,0.7,2.7,2.7,20,1.3,0,0.1,3,0,36,7.7,5.3,0,0,14,4,2,CHINBK847,1,1,422,34,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,6,No,0,?,No,2-High,Other,Other,Yes,Yes
